tau_tot,omega,g,escape_fraction_top,escape_fraction_bottom,absorbed_fraction
0.46415888336127786,0.44,0.5,0.468,0.0734,0.4586
0.46415888336127786,0.55,0.5,0.5198,0.1054,0.3748
0.46415888336127786,0.66,0.5,0.5578,0.1372,0.305
0.46415888336127786,0.77,0.5,0.6006,0.1684,0.231
0.46415888336127786,0.88,0.5,0.6572,0.2184,0.1244
0.46415888336127786,0.99,0.5,0.7224,0.2696,0.008
0.774263682681127,0.0,0.5,0.2152,0.0,0.7848
0.774263682681127,0.11,0.5,0.2236,0.016,0.7604
0.774263682681127,0.22,0.5,0.2516,0.0398,0.7086
0.774263682681127,0.33,0.5,0.2832,0.0628,0.654
0.774263682681127,0.44,0.5,0.3258,0.0846,0.5896
0.774263682681127,0.55,0.5,0.3636,0.124,0.5124
0.774263682681127,0.66,0.5,0.4152,0.1554,0.4294
0.774263682681127,0.77,0.5,0.4768,0.201,0.3222
0.774263682681127,0.88,0.5,0.5418,0.2704,0.1878
0.774263682681127,0.99,0.5,0.6398,0.343,0.0172
1.291549665014884,0.0,0.5,0.097,0.0,0.903
1.291549665014884,0.11,0.5,0.1244,0.0184,0.8572
1.291549665014884,0.22,0.5,0.1344,0.0386,0.827
1.291549665014884,0.33,0.5,0.1608,0.0628,0.7764
1.291549665014884,0.44,0.5,0.1866,0.0928,0.7206
1.291549665014884,0.55,0.5,0.226,0.1274,0.6466
1.291549665014884,0.66,0.5,0.2678,0.1748,0.5574
1.291549665014884,0.77,0.5,0.335,0.2372,0.4278
1.291549665014884,0.88,0.5,0.4176,0.3118,0.2706
1.291549665014884,0.99,0.5,0.5436,0.4306,0.0258
2.1544346900318834,0.0,0.5,0.034,0.0,0.966
2.1544346900318834,0.11,0.5,0.043,0.0184,0.9386
2.1544346900318834,0.22,0.5,0.0518,0.0412,0.907
2.1544346900318834,0.33,0.5,0.06,0.0678,0.8722
2.1544346900318834,0.44,0.5,0.0856,0.097,0.8174
2.1544346900318834,0.55,0.5,0.1132,0.1284,0.7584
2.1544346900318834,0.66,0.5,0.1386,0.1866,0.6748
2.1544346900318834,0.77,0.5,0.1998,0.2556,0.5446
2.1544346900318834,0.88,0.5,0.2872,0.3562,0.3566
2.1544346900318834,0.99,0.5,0.4374,0.5212,0.0414
3.593813663804626,0.0,0.5,0.0056,0.0,0.9944
3.593813663804626,0.11,0.5,0.0086,0.0148,0.9766
3.593813663804626,0.22,0.5,0.0082,0.0372,0.9546
3.593813663804626,0.33,0.5,0.015,0.0646,0.9204
3.593813663804626,0.44,0.5,0.0182,0.0942,0.8876
3.593813663804626,0.55,0.5,0.0352,0.1318,0.833
3.593813663804626,0.66,0.5,0.0524,0.1786,0.769
3.593813663804626,0.77,0.5,0.0782,0.2642,0.6576
3.593813663804626,0.88,0.5,0.1578,0.3718,0.4704
3.593813663804626,0.99,0.5,0.3414,0.5992,0.0594
5.994842503189409,0.0,0.5,0.001,0.0,0.999
5.994842503189409,0.11,0.5,0.0002,0.0178,0.982
5.994842503189409,0.22,0.5,0.0008,0.0362,0.963
5.994842503189409,0.33,0.5,0.0016,0.066,0.9324
